,words,count,freq,Freq
71,HypoF_ExtraFovea:inferior,90,0.001963950595731681,90 (0.2%)
74,HypoF_ExtraFovea:superior,85,0.0018548422293021428,85 (0.2%)
67,polypoidal choroidal vasculopathy,81,0.0017675555361585126,81 (0.2%)
29,nasal,80,0.0017457338628726051,80 (0.2%)
81,HyperF_ExtraFovea:inferior nasal,78,0.00170209051630079,78 (0.2%)
87,intraretinal,72,0.0015711604765853446,72 (0.2%)
55,pachychoroid pigment epitheliopathy,70,0.0015275171300135294,70 (0.2%)
39,HyperF_ExtraFovea:inferior temporal,68,0.0014838737834417144,68 (0.1%)
18,Pattern:petaloid,64,0.001396587090298084,64 (0.1%)
62,HyperF_ExtraFovea:disc,60,0.0013093003971544539,60 (0.1%)
43,inferior temporal,53,0.0011565486841531008,53 (0.1%)
48,subretinal,51,0.0011129053375812858,51 (0.1%)
22,HypoF_ExtraFovea:nasal,44,0.0009601536245799327,44 (0.1%)
70,HypoF_Y:preretinal,40,0.0008728669314363026,40 (0.1%)
93,HypoF_ExtraFovea:temporal,38,0.0008292235848644874,38 (0.1%)
94,superior,36,0.0007855802382926723,36 (0.1%)
100,chorioretinal atrophy,34,0.0007419368917208572,34 (0.1%)
96,HypoF_ExtraFovea:superior nasal,34,0.0007419368917208572,34 (0.1%)
111,diffuse,33,0.0007201152184349496,33 (0.1%)
90,retinal neovascularization elsewhere,28,0.0006110068520054117,28 (0.1%)
47,Pattern:smoke stack,26,0.0005673635054335967,26 (0.1%)
72,myopia,26,0.0005673635054335967,26 (0.1%)
102,proliferative diabetic retinopathy,26,0.0005673635054335967,26 (0.1%)
53,Vascular abnormality (DR):tortuous,25,0.000545541832147689,25 (0.1%)
79,superior temporal,25,0.000545541832147689,25 (0.1%)
40,inferior nasal,23,0.000501898485575874,23 (0.1%)
73,choroidal mass,23,0.000501898485575874,23 (0.1%)
51,HypoF_ExtraFovea:superior temporal,23,0.000501898485575874,23 (0.1%)
57,cystoid macular edema,23,0.000501898485575874,23 (0.1%)
85,HypoF_ExtraFovea:inferior temporal,22,0.00048007681228996637,22 (0.0%)
101,Pattern:panretinal photocoagulation,21,0.00045825513900405883,21 (0.0%)
109,preretinal,19,0.0004146117924322437,19 (0.0%)
99,Pattern:drusen,19,0.0004146117924322437,19 (0.0%)
68,intraretinal microvascular abnormalities,19,0.0004146117924322437,19 (0.0%)
92,other,18,0.00039279011914633615,18 (0.0%)
76,disc,18,0.00039279011914633615,18 (0.0%)
88,HypoF_ExtraFovea:inferior nasal,18,0.00039279011914633615,18 (0.0%)
69,epiretinal membrane,16,0.000349146772574521,16 (0.0%)
77,superior nasal,16,0.000349146772574521,16 (0.0%)
54,retinal vein occlusion,15,0.00032732509928861346,15 (0.0%)
105,HyperF_Y:preretinal,12,0.0002618600794308908,12 (0.0%)
52,vessel dilation,11,0.00024003840614498319,11 (0.0%)
84,Vascular abnormality (DR):macroaneurysm,9,0.00019639505957316807,9 (0.0%)
83,retinal arterial macroaneurysm,9,0.00019639505957316807,9 (0.0%)
115,tortuous,8,0.0001745733862872605,8 (0.0%)
86,branch retinal vein occlusion,8,0.0001745733862872605,8 (0.0%)
58,Vascular abnormality (DR):retinal neovascularization elsewhere,7,0.00015275171300135293,7 (0.0%)
63,central retinal vein occlusion,7,0.00015275171300135293,7 (0.0%)
118,superior to disc,7,0.00015275171300135293,7 (0.0%)
97,HypoF_ExtraFovea:disc,7,0.00015275171300135293,7 (0.0%)
91,HyperF_ExtraFovea:superior to disc,6,0.0001309300397154454,6 (0.0%)
113,retinal dystrophy,6,0.0001309300397154454,6 (0.0%)
104,Vascular abnormality (DR):intraretinal microvascular abnormalities,5,0.00010910836642953782,5 (0.0%)
110,diabetic macular edema,5,0.00010910836642953782,5 (0.0%)
117,HypoF_ExtraFovea:superior to disc,5,0.00010910836642953782,5 (0.0%)
112,Vascular abnormality (DR):retinal neovascularization of the disc,5,0.00010910836642953782,5 (0.0%)
108,nasal to disc,5,0.00010910836642953782,5 (0.0%)
121,Vascular abnormality (DR):telangiectasia,4,8.728669314363025e-05,4 (0.0%)
98,pcv,4,8.728669314363025e-05,4 (0.0%)
65,central retinal artery occlusion,4,8.728669314363025e-05,4 (0.0%)
134,temporal to disc,4,8.728669314363025e-05,4 (0.0%)
120,HyperF_ExtraFovea:inferior to disc,3,6.54650198577227e-05,3 (0.0%)
140,HyperF_ExtraFovea:venular,3,6.54650198577227e-05,3 (0.0%)
116,Pattern:light bulb,3,6.54650198577227e-05,3 (0.0%)
107,inferior to disc,3,6.54650198577227e-05,3 (0.0%)
137,HypoF_ExtraFovea:nasal to disc,3,6.54650198577227e-05,3 (0.0%)
124,HyperF_ExtraFovea:nasal to disc,3,6.54650198577227e-05,3 (0.0%)
131,Vascular abnormality (DR):collateral vessel,2,4.3643346571815126e-05,2 (0.0%)
125,Pattern:starry sky,2,4.3643346571815126e-05,2 (0.0%)
114,venular,2,4.3643346571815126e-05,2 (0.0%)
119,tortuous dilate,2,4.3643346571815126e-05,2 (0.0%)
89,microaneurysm,2,4.3643346571815126e-05,2 (0.0%)
122,venous beading,2,4.3643346571815126e-05,2 (0.0%)
123,HypoF_ExtraFovea:periphery,2,4.3643346571815126e-05,2 (0.0%)
138,HyperF_ExtraFovea:periphery,2,4.3643346571815126e-05,2 (0.0%)
126,panretinal photocoagulation,2,4.3643346571815126e-05,2 (0.0%)
82,Vascular abnormality (DR):mild tortuous vessel,2,4.3643346571815126e-05,2 (0.0%)
132,collateral vessel,1,2.1821673285907563e-05,1 (0.0%)
129,Pattern:branching neovascular network,1,2.1821673285907563e-05,1 (0.0%)
128,petaloid,1,2.1821673285907563e-05,1 (0.0%)
135,Pattern:retinal pigment epithelial tear,1,2.1821673285907563e-05,1 (0.0%)
130,Pattern:laser scar,1,2.1821673285907563e-05,1 (0.0%)
133,vasculitis,1,2.1821673285907563e-05,1 (0.0%)
106,HypoF_ExtraFovea:temporal to disc,1,2.1821673285907563e-05,1 (0.0%)
136,HyperF_ExtraFovea:superotemporal,1,2.1821673285907563e-05,1 (0.0%)
95,Vascular abnormality (DR):venous beading,1,2.1821673285907563e-05,1 (0.0%)
127,Pattern:segmental panretinal photocoagulation,1,2.1821673285907563e-05,1 (0.0%)
103,dilated vessel,1,2.1821673285907563e-05,1 (0.0%)
139,Vascular abnormality (DR):optociliary shunt,1,2.1821673285907563e-05,1 (0.0%)
141,smoke stack,1,2.1821673285907563e-05,1 (0.0%)
